Programa de financiación;Título;Ce.gestor;Funcional;Económico;Fondo;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2023/000102;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL PLENO;001100;91230;62500;;8.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000102;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL PLENO;001100;91230;62599;;5.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000103;EQUIPOS DE COMUNICACIONES COMISIONES Y TRANSCRIPCIONES SECRETARÍA GENERAL DEL PLENO;001100;91230;62302;;20.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000103;EQUIPOS DE COMUNICACIONES COMISIONES Y TRANSCRIPCIONES SECRETARÍA GENERAL DEL PLENO;001100;91230;63600;;2.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000004;SERVICIOS GRUPOS POLÍTICOS. SEÑALIZACIÓN;001100;91240;62901;;2.500,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000104;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS;001100;91240;62500;;7.500,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000104;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS;001100;91240;62599;;5.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000124;PLAN DE DESARROLLO DE LA ADMINISTRACIÓN ELECTRÓNICA;001102;49102;64100;;50.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;998;VARIOS DISTRITOS
2023/000019;EQUIPAMIENTOS SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA;001102;92012;62302;;5.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000019;EQUIPAMIENTOS SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA;001102;92012;62599;;15.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000022;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDIA. MOBILIARIO;001102;92012;62500;;20.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000022;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDIA. MOBILIARIO;001102;92012;63500;;1.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000025;EDIFICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. OBRAS DE REFORMA;001102;92012;63200;;5.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;998;VARIOS DISTRITOS
2023/000026;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. INSTALACIONES TÉCNICAS;001102;92012;62301;;50.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000026;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. INSTALACIONES TÉCNICAS;001102;92012;63301;;125.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000117;EDIFICIO PLAZA DE LA VILLA. BIENES PATRIMONIO HISTÓRICO, ARTÍSTICO Y CULTURAL;001102;92012;60900;;1.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;201;CENTRO
2023/000317;SERVICIOS ÁREA DE GOBIERNO VICEALCALDÍA. MOBILIARIO Y EQUIPOS DE OFICINA;001110;92010;62500;;19.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000318;EQUIPAMIENTO SERVICIOS ÁREA DE GOBIERNO DE VICEALCALDÍA;001110;92010;62599;;6.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
